Date,Time ofgreatest eclipse(TDT),Saros,Type,Magnitude,Centralduration(min:s),Location,Path width,Path width,Geographical area,Ref(s),Gamma
Date,Time ofgreatest eclipse(TDT),Saros,Type,Magnitude,Centralduration(min:s),Location,km,mi,Geographical area,Ref(s),Gamma
"June 21, 2001",12:04:46,127,Total,1.05,4:57,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}11°18′S 2°42′E﻿ / ﻿11.3°S 2.7°E",200,120,"Total: Angola, Zambia, Zimbabwe, Mozambique and Madagascar Partial: South America, Africa",[a][4],
"December 14, 2001",20:53:01,132,Annular,0.968,3:53,0°36′N 130°42′W﻿ / ﻿0.6°N 130.7°W,126,78,"Annular: Nicaragua and Costa Rica Partial: North and Central America, northwestern South America, Hawaii",[a][4],
"June 10, 2002",23:45:22,137,Annular,0.996,0:23,34°30′N 178°36′W﻿ / ﻿34.5°N 178.6°W,13,8.1,"Annular: Manado, Indonesia, Guam, Northern Mariana Islands, and Puerto Vallarta, Mexico Partial: eastern Asia, northeastern Australia, North America, Hawaii",[a][4],
"December 4, 2002",07:32:16,142,Total,1.024,2:04,39°30′S 59°36′E﻿ / ﻿39.5°S 59.6°E,87,54,"Total: Angola, Botswana, Zimbabwe, South Africa, Mozambique and South Australia Partial: Africa, Antarctica, Indonesia, Australia",[a][4],
"May 31, 2003",04:09:22,147,Annular,0.938,3:37,66°36′N 24°30′W﻿ / ﻿66.6°N 24.5°W,—,—,"Annular: Greenland, Iceland, northeastern Scotland, Faroe Islands, Shetland Islands Partial: Eastern Europe, northern and western Asia, Middle East, Alaska, Greenland and northwestern Canada",[a][4],
"November 23, 2003",22:50:22,152,Total,1.038,1:57,72°42′S 88°24′E﻿ / ﻿72.7°S 88.4°E,495,308,"Total: East Antarctica Partial: Australia, New Zealand, Antarctica, southern Chile and Argentina",[a][4],
"April 19, 2004",13:35:05,119,Partial,0.737,—,61°36′S 44°18′E﻿ / ﻿61.6°S 44.3°E,—,—,"Partial: Antarctic Peninsula, east Antarctica, southern Africa",[a][4],
"October 14, 2004",03:00:23,124,Partial,0.928,—,61°12′N 153°42′W﻿ / ﻿61.2°N 153.7°W,—,—,"Partial: eastern Russia, Mongolia, northeastern China, Korea, Japan, Hawaii, western Alaska",[a][4],
"April 8, 2005",20:36:51,129,Hybrid,1.007,0:42,10°36′S 119°00′W﻿ / ﻿10.6°S 119.0°W,27,17,"Hybrid: Venezuela, Colombia, Panama, southeastern French Polynesia, Bounty Islands Partial: Pacific, Mexico, Central America, Caribbean, western South America, New Zealand, West Antarctica",[a][4],
"October 3, 2005",10:32:47,134,Annular,0.958,4:32,12°54′N 28°42′E﻿ / ﻿12.9°N 28.7°E,162,101,"Annular: Portugal, Spain, Algeria, Tunisia, Libya, Chad, Sudan, Kenya and Somalia Partial: Africa, Europe, Western Asia, Middle East and India Pakistan",[a][4],
"March 29, 2006",10:12:23,139,Total,1.052,4:07,23°12′N 16°42′E﻿ / ﻿23.2°N 16.7°E,104,65,"Total: Brazil, Ghana, Togo, Benin, Nigeria, Niger, Libya, northwest Egypt, Turkey, Georgia, southwestern Russia and Kazakhstan Partial: North Africa, Central Africa, eastern Brazil, Central Asia, Middle East, India Pakistan and Europe",[a][4],
"September 22, 2006",11:41:16,144,Annular,0.935,7:09,20°36′S 9°06′W﻿ / ﻿20.6°S 9.1°W,261,162,"Annular: Guyana, Suriname and French Guiana Partial: South America, West Africa, Southern Africa, Antarctic Peninsula, east Antarctica",[a][4],
"March 19, 2007",02:32:57,149,Partial,0.876,—,61°00′N 55°30′E﻿ / ﻿61.0°N 55.5°E,—,—,"Partial: Asia, northeastern Europe, western Alaska",[a][4],
"September 11, 2007",12:32:24,154,Partial,0.751,—,61°00′S 90°12′W﻿ / ﻿61.0°S 90.2°W,—,—,"Partial: Central and Southern South America, Antarctic Peninsula, east Antarctica, south Atlantic",[a][4],
"February 7, 2008",03:56:10,121,Annular,0.965,2:12,67°36′S 150°30′W﻿ / ﻿67.6°S 150.5°W,444,276,"Annular: West Antarctica Partial: Antarctica, southeastern Australia, New Zealand, southeastern Melanesia, southeastern Micronesia, southeastern Polynesia",[a][4],
"August 1, 2008",10:22:12,126,Total,1.039,2:27,65°42′N 72°18′E﻿ / ﻿65.7°N 72.3°E,237,147,"Total: Nunavut, northern Greenland, central Russia, western Mongolia, western China Partial: Nova Scotia, PEI, New Brunswick, Quebec, Nunavut, Greenland, northern Europe, Asia",[a][4],
"January 26, 2009",07:59:45,131,Annular,0.928,7:54,34°06′S 70°12′E﻿ / ﻿34.1°S 70.2°E,280,170,"Annular: southeast Sumatra, Jakarta and Borneo Partial: Southern Africa, east Antarctica, South East Asia, Philippines, Australia",[a][4],
"July 22, 2009",02:36:25,136,Total,1.08,6:39,24°12′N 144°06′E﻿ / ﻿24.2°N 144.1°E,258,160,"Total: central and northeastern Pakistan, India, Bhutan, Bangladesh, Myanmar, China, Japan (northern part of the Ryukyu Islands) (Satsunan) Partial: Southeast Asia, Japan, South Korea, the Philippines, Indonesia, Central Pacific Ocean area and its islands",[a][4],
"January 15, 2010",07:07:39,141,Annular,0.919,11:08,1°36′N 69°18′E﻿ / ﻿1.6°N 69.3°E,333,207,"Annular: Central African Republic, Democratic Republic of the Congo, Uganda, Maldives, southeastern India, Pakistan, Sri Lanka, Myanmar, central China Partial: Africa, Southeastern Europe, Middle East, Asia",[a][4],
"July 11, 2010",19:34:38,146,Total,1.058,5:20,19°42′S 121°54′W﻿ / ﻿19.7°S 121.9°W,259,161,"Total: Southern Chile and Argentina, Southeastern Polynesia Partial: southwestern South America, French Polynesia, Hawaii",[a][4],
"January 4, 2011",08:51:42,151,Partial,0.858,—,64°42′N 20°48′E﻿ / ﻿64.7°N 20.8°E,—,—,"Partial: Europe, Northern Africa, Central Asia, Middle East",[a][4],
"June 1, 2011",21:17:18,118,Partial,0.601,—,67°48′N 46°48′E﻿ / ﻿67.8°N 46.8°E,—,—,"Partial: Iceland, northern Canada, Alaska, northeastern Asia, Greenland, northern Scandinavia",[a][4],
"July 1, 2011",08:39:30,156,Partial,0.097,—,65°12′S 28°36′E﻿ / ﻿65.2°S 28.6°E,—,—,Partial: Southern Indian Ocean near Antarctica,[a][4],
"November 25, 2011",06:21:24,123,Partial,0.905,—,68°36′S 82°24′W﻿ / ﻿68.6°S 82.4°W,—,—,"Partial: Southwestern South Africa, Antarctica, Tasmania, New Zealand",[a][4],
"May 20, 2012",23:53:54,128,Annular,0.944,5:46,49°06′N 176°18′E﻿ / ﻿49.1°N 176.3°E,237,147,"Annular: Southern China, Hong Kong, Macau, Kyushu, Shikoku, southern Honshu, Tokyo, Oregon, California, Nevada, Utah, Arizona, New Mexico, Texas Partial: Pacific, eastern Asia, North America, Hawaii",[a][4],
"November 13, 2012",22:12:55,133,Total,1.05,4:02,40°00′S 161°18′W﻿ / ﻿40.0°S 161.3°W,179,111,"Total: Arnhem Land and central Cape York Peninsula, Australia, Kermadec Islands, New Zealand Partial: Australia, New Zealand, Melanesia, Southeastern South America, Southern Pacific, Polynesia, Antarctic Peninsula, West Antarctica, Talos Dome",[a][4],
"May 10, 2013",00:26:20,138,Annular,0.954,6:03,2°12′N 175°30′E﻿ / ﻿2.2°N 175.5°E,173,107,"Annular: Western Australia, Northern Territory and Queensland, Australia, Louisiade Archipelago, Solomon Islands, Kiribati Partial: Australia, New Zealand, Central Pacific, Hawaii, Indonesia",[a][4],
"November 3, 2013",12:47:36,143,Hybrid,1.016,1:40,3°30′N 11°42′W﻿ / ﻿3.5°N 11.7°W,58,36,"Hybrid: Gabon, Republic of the Congo, Democratic Republic of the Congo, Uganda, Kenya, Ethiopia Partial: Eastern America, Eastern Canada, Caribbean, Eastern South America, South Europe, Africa",[a][4],
"April 29, 2014",06:04:33,148,Annular (non-central),0.987,—,70°36′S 131°18′E﻿ / ﻿70.6°S 131.3°E,—,—,"Annular: western Wilkes Land Partial: South Indian Ocean, Australia, east Antarctica",[a][4],
"October 23, 2014",21:45:39,153,Partial,0.811,—,71°12′N 97°12′W﻿ / ﻿71.2°N 97.2°W,—,—,"Partial: Northern Pacific, North America, Mexico, Eastern Russia",[a][4],
